postal,active_total,candidate_total,delta_total,active_bus,candidate_bus,delta_bus,active_covered_ratio,candidate_covered_ratio,delta_covered_ratio,active_state,candidate_state,active_routing_type,candidate_routing_type
000135,41.9,61.9,20.0,0.0,100.0,100.0,0.232,0.232,0.0,SCORED,SCORED,sheltered,sheltered
018593,33.5,33.5,0.0,0.0,0.0,0.0,0.412,0.412,0.0,SCORED,SCORED,sheltered,sheltered
018906,51.9,51.9,0.0,0.0,0.0,0.0,0.298,0.298,0.0,SCORED,SCORED,sheltered,sheltered
018907,28.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018910,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018916,62.7,62.7,0.0,0.0,0.0,0.0,0.617,0.617,0.0,SCORED,SCORED,sheltered,sheltered
018925,76.4,76.4,0.0,0.0,0.0,0.0,0.909,0.909,0.0,SCORED,SCORED,sheltered,sheltered
018926,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018927,47.9,47.9,0.0,0.0,0.0,0.0,0.391,0.391,0.0,SCORED,SCORED,sheltered,sheltered
018928,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018929,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018935,45.5,45.5,0.0,0.0,0.0,0.0,0.162,0.162,0.0,SCORED,SCORED,sheltered,sheltered
018936,47.3,70.1,22.8,0.0,100.0,100.0,0.207,0.304,0.097,SCORED,SCORED,sheltered,sheltered
018937,45.6,45.6,0.0,0.0,0.0,0.0,0.164,0.164,0.0,SCORED,SCORED,sheltered,sheltered
018940,37.8,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018947,44.3,44.3,0.0,0.0,0.0,0.0,0.63,0.63,0.0,SCORED,SCORED,sheltered,sheltered
018948,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
018951,20.3,20.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,SCORED,SCORED,sheltered,sheltered
018953,25.5,25.5,0.0,0.0,0.0,0.0,0.201,0.201,0.0,SCORED,SCORED,sheltered,sheltered
018955,66.8,86.8,20.0,0.0,100.0,100.0,0.67,0.67,0.0,SCORED,SCORED,sheltered,sheltered
018956,82.0,82.0,0.0,100.0,100.0,0.0,0.551,0.551,0.0,SCORED,SCORED,sheltered,sheltered
018957,82.4,82.4,0.0,100.0,100.0,0.0,0.561,0.561,0.0,SCORED,SCORED,sheltered,sheltered
018958,68.2,88.2,20.0,0.0,100.0,100.0,0.706,0.706,0.0,SCORED,SCORED,sheltered,sheltered
018959,35.1,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
018960,86.8,86.8,0.0,100.0,100.0,0.0,0.671,0.671,0.0,SCORED,SCORED,sheltered,sheltered
018961,84.4,84.4,0.0,100.0,100.0,0.0,0.61,0.61,0.0,SCORED,SCORED,sheltered,sheltered
018962,63.2,63.2,0.0,100.0,100.0,0.0,0.208,0.208,0.0,SCORED,SCORED,sheltered,sheltered
018965,72.7,72.7,0.0,100.0,100.0,0.0,0.343,0.343,0.0,SCORED,SCORED,sheltered,sheltered
018969,72.7,72.7,0.0,100.0,100.0,0.0,0.342,0.342,0.0,SCORED,SCORED,sheltered,sheltered
018971,74.5,74.5,0.0,100.0,100.0,0.0,0.363,0.363,0.0,SCORED,SCORED,sheltered,sheltered
018972,72.0,72.0,0.0,0.0,0.0,0.0,0.832,0.832,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
018973,71.5,71.5,0.0,0.0,0.0,0.0,0.788,0.788,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
018974,31.8,31.8,0.0,0.0,0.0,0.0,0.272,0.272,0.0,SCORED,SCORED,sheltered,sheltered
018978,61.2,61.2,0.0,0.0,0.0,0.0,0.53,0.53,0.0,SCORED,SCORED,sheltered,sheltered
018979,66.8,66.8,0.0,0.0,0.0,0.0,0.671,0.671,0.0,SCORED,SCORED,sheltered,sheltered
018980,43.0,43.0,0.0,0.0,0.0,0.0,0.249,0.249,0.0,SCORED,SCORED,sheltered,sheltered
018981,53.9,73.9,20.0,0.0,100.0,100.0,0.397,0.397,0.0,SCORED,SCORED,sheltered,sheltered
018982,87.1,87.1,0.0,100.0,100.0,0.0,0.726,0.726,0.0,SCORED,SCORED,sheltered,sheltered
